,common_entity,entity1,entity2,entity3,rag_text
166,hey mr. d.j.,zhané,2013,pop/rock,"""Hey Mr. D.J."" is a song by American R&B group Zhané, recorded for their debut album, Pronounced Jah-Nay (1994). Co-written by group members Renée Neufville and Jean Norris, it was released as their debut single in August 1993 and also features a rap from Rottin Razkals member Fam. The song was produced by Naughty by Nature and samples ""Looking Up to You"" by Michael Wycoff. Originally, the track was recorded and released on the 1993 compilation album Roll Wit tha Flava.""Hey Mr. D.J."" received critical acclaim, peaking at number six on the US Billboard Hot 100 and receiving a gold certification from the Recording Industry Association of America (RIAA) for selling 500,000 copies domestically. In Australia, it peaked at number nine, and it reached the top 30 hit in Austria, Germany, New Zealand, and the United Kingdom. The accompanying music video, directed by Peter Allen, features the duo performing at a party."
167,his life for mine,the talleys,2003,country/folk,
168,i believe i can fly,me first and the gimme gimmes,2003,pop/rock,
169,"hey, hey helen",abba,1975,pop/rock,"""Hey, Hey Helen"" is a song by ABBA, featured on their 1975 self-titled album. It was used as the B-side to Mamma Mia in Australia and Fernando in the UK."
170,johnny can't read,don henley,1982,pop/rock,"""Johnny Can't Read"" is the first solo single released by American rock singer Don Henley, included on his debut solo studio album I Can't Stand Still (1982). His then partner, former actress Maren Jensen, performs backing vocals. 
It reached #33 in Cashbox magazine and charted at #42 on Billboard's Hot 100 chart. The accompanying music video was very popular on MTV."
171,you used to love me,faith evans,1995,pop/rock,"""You Used to Love Me"" is the debut single of American singer-songwriter Faith Evans. Written by Evans and produced by Sean ""Diddy"" Combs and Chucky Thompson for her debut album, Faith (1995), the song was initially intended to be used on fellow Bad Boy Records signees Total's self-titled first album  (1996), but was eventually claimed by Evans after she had found lyrics to Thompson's track which were inspired by another argument the singer had with then-husband The Notorious B.I.G..
Released as a single in June 1995, ""You Used to Love Me"" earned largely positive reviews. It peaked at number 24 on the US Billboard Hot 100 chart and reached the top five on the Hot R&B/Hip-Hop Songs chart. In August 1995, the song was certified Gold by the Recording Industry Association of America (RIAA). In 2009, the song was included in the biopic Notorious (2009). On Christmas Day 2015, Evans released a re-recorded version of the song on Faith 20, a six-track album composed of remakes from Faith."
172,mothership reconnection (feat.parliament/funkadelic),scott grooves,2006,blues/jazz,
173,hair of the dog (studio demo),nazareth,2009,blues/jazz,
174,run,bring me the horizon,2015,pop/rock,
175,(it's like you) never left at all,america,1984,country/folk,
176,when i had you with me,the beautiful girls,2005,country/folk,
177,out in l.a.,red hot chili peppers,1984,pop/rock,"Out in L.A. is a compilation of rare tracks by the Red Hot Chili Peppers released November 1, 1994, on EMI."
178,you've got to have freedom,pharoah sanders,2008,blues/jazz,
179,hip hop lover,en vogue,1992,hip hop/reggae,
180,my name is jack,manfred mann,1968,pop/rock,"""My Name Is Jack"" is a song written by American record producer John Simon and released as a single by British group Manfred Mann in 1968. Their version reached number 8 on the UK Singles Chart. It became an international Top 10 hit, but only reached number 104 in the US."
181,shoot me dead,hours eastly,2012,country/folk,
182,wicked gonna come,blues saraceno,2018,blues/jazz,
183,stax jam,galactic,1996,blues/jazz,
184,don't give in,steel pulse,1984,country/folk,
185,hot dog,limp bizkit,2000,pop/rock,"Chocolate Starfish and the Hot Dog Flavored Water is the third studio album by American nu metal band Limp Bizkit. It was released on October 17, 2000, through Flip and Interscope Records.

"
186,don't throw your love away,the searchers,1964,pop/rock,
187,dead cell,papa roach,2001,pop/rock,
188,spirit crusher,death,1998,pop/rock,
189,i love you,sarah mclachlan,1997,pop/rock,
190,inspector mills,america,1982,country/folk,
191,making days longer,rjd2,2004,blues/jazz,
192,don't touch me tomato,phyllis dillon,1967,country/folk,"""Don't Touch Me Tomato"", originally published in 1949 simply as ""Tomato"", is a song written by Trinidadian musician Sam Manning, and usually performed in the style of calypso, mento, or rocksteady.  The song is sometimes credited as ""traditional"", or ascribed (apparently in error) to the French writers Henri Lemarchand and Joseph Bouillon after it was recorded by Josephine Baker.  It was first recorded in New York by June Nelson; other notable recordings have been by Marie Bryant (1952) and Phyllis Dillon (1968)."
193,for all we know,donny hathaway,2013,blues/jazz,
194,starships,nicki minaj,2011,pop/rock,"""Starships"" is a song by rapper Nicki Minaj from her second studio album, Pink Friday: Roman Reloaded (2012). It was released on February 14, 2012, by Young Money, Cash Money, and Universal Republic as the lead single from the album. The song was written by Nicki Minaj, Nadir Khayat, Carl Falk, Rami Yacoub, Bilal Hajji, and Wayne Hector, and it was produced by RedOne, Yacoub, and Falk.
""Starships"" peaked top ten in fifteen countries. It debuted at number nine on the U.S. Billboard Hot 100, spent a total of 21 consecutive weeks in the top ten.  As of 2014, the song has sold 4.5 million digital downloads in the U.S. and has been certified nine times platinum by the RIAA, becoming her second-highest certified solo single in the U.S. The song is among the best-selling singles of all time worldwide, with 7.2 million copies sold as of December 2012.
The corresponding music video was shot on Oahu Island, Hawaii and was directed by Anthony Mandler. The music video was well received by music critics, many praising the kaleidoscopic effects in the video and the carefree atmosphere. The music video won Best Female Video at the 2012 MTV Video Music Awards. The song was included in the 2012 video game Dance Central 3 and it is included in the best-selling video game Just Dance 2014. It is one of the few select songs available on Just Dance 2014's demo version.
Minaj has performed the song live in a number of appearances, and it was the encore performance on the Pink Friday: Reloaded Tour. In September 2013, electronic artist Clive Tanaka filed suit against Minaj and the writers of the song, claiming it infringed on his own composition and recording ""Neu Chicago"", but the lawsuit was dismissed. Minaj later voiced regret over releasing the song."
195,sleeping heart,the judds,1984,country/folk,
196,stop,black rebel motorcycle club,2003,blues/jazz,
197,make you mine,black lips,2014,blues/jazz,
198,i stayed long enough,tammy wynette,1967,country/folk,"""I Stayed Long Enough"" is a song written and originally recorded by American country artist, Tammy Wynette. It first appeared as an album track on Wynette's 1969 album, Stand by Your Man. It was then recorded and released as a single by American country artist, Billie Jo Spears. Her version reached the top 40 of the American country chart in 1970."
199,energy,"earth, wind & fire",1971,blues/jazz,
200,it's growing,otis redding,1966,blues/jazz,
201,your cheatin' heart,hank williams,1978,country/folk,"""Your Cheatin' Heart"" is a song written and recorded by country music singer-songwriter Hank Williams in 1952. It is regarded as one of country's most important standards. Williams was inspired to write the song while driving with his fiancée from Nashville, Tennessee, to Shreveport, Louisiana. After describing his first wife Audrey Sheppard as a ""cheatin' heart"", in minutes he dictated the lyrics to Billie Jean Jones. Produced by Fred Rose, Williams recorded the song at his last session at Castle Studio in Nashville, Tennessee, on September 23.
""Your Cheatin' Heart"" was released in January 1953. Propelled by Hank Williams' recent death during a trip to a New Year's concert in Canton, Ohio, the song became an instant success. It topped Billboard's Country & Western chart for six weeks, with over a million units sold. The success of the song continued with covers by other artists. Joni James' version reached number two on Billboard's Most Played in Jukeboxes the same year, while Ray Charles' 1962 version reached number 29 on the Billboard Hot 100 and 13 on the UK Singles Chart. The song ranked 213 on Rolling Stone's 500 Greatest Songs of All Time, and was ranked number 5 on Country Music Television's 100 Greatest Songs in Country Music."
202,baby's on fire,die antwoord,2012,pop/rock,
203,the tear of the year,jackie wilson,1962,blues/jazz,
204,a wonderful yesterday,willie nelson,1968,country/folk,
205,i'm with you,the millennium,1968,pop/rock,
206,bang bang,nancy sinatra,2003,pop/rock,
207,avon,queens of the stone age,1998,blues/jazz,"Queens of the Stone Age is the debut studio album by American rock band Queens of the Stone Age, released by Loosegroove Records on September 22, 1998. It was primarily written and recorded in April 1998 by founding member Josh Homme and his former Kyuss bandmate Alfredo Hernández, with Hernández playing drums and Homme singing and playing the rest of the instruments. Homme also produced the album alongside Joe Barresi. Bassist Nick Oliveri, also a former member of Kyuss, would join the band by the time of the album's release. Queens of the Stone Age received generally positive reviews from critics, who placed it in the stoner rock genre and drew comparisons to krautrock bands such as Neu! and Can, as well as to Kyuss and other metal bands.
In 2011, Homme reissued Queens of the Stone Age through his Rekords Rekords label, having it remastered and adding three additional tracks–two from the album's recording sessions and one from two years earlier. The reissue received a positive critical response and was accompanied by a supporting concert tour. Working on the reissue and subsequent tour also inspired part of the band's approach to recording its sixth album, ...Like Clockwork, released in 2013. In 2022, the album was reissued again on Matador Records with its original LP artwork."
