,rag,common_entity,entity1,entity2,entity3,entity4
313,Hirving Rodrigo Lozano Bahena,H. Lozano,PSV,11,Mexico,Holland Eredivisie
314,David Soria Solís,David Soria,Getafe CF,13,Spain,Spain Primera Division
315,Lucas Torreira Di Pascua,L. Torreira,Arsenal,11,Uruguay,English Premier League
316,Rúben Diogo da Silva Neves,Rúben Neves,Wolverhampton Wanderers,8,Portugal,English Premier League
317,Presnel Kimpembe,P. Kimpembe,Paris Saint-Germain,3,France,French Ligue 1
318,Steven Charles Bergwijn,S. Bergwijn,PSV,10,Netherlands,Holland Eredivisie
319,André Onana,A. Onana,Ajax,24,Cameroon,Holland Eredivisie
320,Gelson Dany Batalha Martins,Gelson Martins,AS Monaco,11,Portugal,French Ligue 1
321,Nélson Cabral Semedo,Nélson Semedo,FC Barcelona,2,Portugal,Spain Primera Division
322,Leon Bailey Butler,L. Bailey,Bayer 04 Leverkusen,9,Jamaica,German 1. Bundesliga
323,Mikel Oyarzabal Ugarte,Oyarzabal,Real Sociedad,10,Spain,Spain Primera Division
324,Raphael William Anjos Rochedo,Raphaelito Anjos,Grêmio,1,Brazil,Campeonato Brasileiro Série A
325,Juan Everton Mestres de Mesquita,Juiano Mestres,Cruzeiro,3,Brazil,Campeonato Brasileiro Série A
326,Rosberto J. Dourado Santos,Rosberto Dourado,Clube Atlético Mineiro,6,Brazil,Campeonato Brasileiro Série A
327,Gabriel Fernando de Jesus,Gabriel Jesus,Manchester City,9,Brazil,English Premier League
328,Ricardo Andrade Quaresma Bernardo,Quaresma,Beşiktaş JK,7,Portugal,Turkish Süper Lig
329,Jérémy Mathieu,J. Mathieu,Sporting CP,22,France,Portuguese Liga ZON SAGRES
330,James Philip Milner,J. Milner,Liverpool,7,England,English Premier League
331,Lisandro López,L. López,Racing Club,15,Argentina,Argentina Primera División
332,Bafétimbi Fredius Gomis,B. Gomis,Al Hilal,18,France,Saudi Abdul L. Jameel League
333,Mousa Sidi Yaya Dembélé,M. Dembélé,Guangzhou City,8,Belgium,Chinese Super League
334,Francesc Fàbregas i Soler,Cesc Fàbregas,AS Monaco,4,Spain,French Ligue 1
335,Andrea Consigli,A. Consigli,U.S. Sassuolo Calcio,47,Italy,Italian Serie A
336,Laurent Koscielny,L. Koscielny,FC Girondins de Bordeaux,6,France,French Ligue 1
337,Jardel Nivaldo Vieira,Jardel,SL Benfica,33,Brazil,Portuguese Liga ZON SAGRES
338,Renato Soares de Oliveira Augusto,Renato Augusto,Beijing Guoan FC,5,Brazil,Chinese Super League
339,José Miguel da Rocha Fonte,José Fonte,LOSC Lille,6,Portugal,French Ligue 1
340,José Andrés Guardado Hernández,A. Guardado,Real Betis Balompié,18,Mexico,Spain Primera Division
341,Łukasz Piszczek,Ł. Piszczek,Borussia Dortmund,26,Poland,German 1. Bundesliga
342,Kévin Gameiro,K. Gameiro,Valencia CF,9,France,Spain Primera Division
343,Dimitri Payet,D. Payet,Olympique de Marseille,10,France,French Ligue 1
344,Beñat Etxebarria Urkiaga,Beñat,Athletic Club de Bilbao,7,Spain,Spain Primera Division
345,Antonio Adán Garrido,Adán,Atlético de Madrid,1,Spain,Spain Primera Division
346,Benedikt Höwedes,B. Höwedes,FC Lokomotiv Moscow,5,Germany,Rest of World
347,Néstor Fernando Muslera Micol,F. Muslera,Galatasaray SK,1,Uruguay,Turkish Süper Lig
348,Moussa Sissoko,M. Sissoko,Tottenham Hotspur,17,France,English Premier League
349,Marco Parolo,M. Parolo,Lazio,16,Italy,Italian Serie A
350,Fernando Francisco Reges,Fernando,Sevilla FC,25,Brazil,Spain Primera Division
351,Osvaldo Nicolás Fabián Gaitán,N. Gaitán,Chicago Fire Football Club,20,Argentina,USA Major League Soccer
352,Sebastian Giovinco,S. Giovinco,Al Hilal,9,Italy,Saudi Abdul L. Jameel League
353,Luiz Gustavo Dias,Luiz Gustavo,Olympique de Marseille,19,Brazil,French Ligue 1
354,Nicolas N'Koulou,N. Nkoulou,Torino F.C.,33,Cameroon,Italian Serie A
355,Adem Ljajić,A. Ljajić,Beşiktaş JK,22,Serbia,Turkish Süper Lig
356,Nemanja Matić,N. Matić,Manchester United,31,Serbia,English Premier League
357,Marcos Alonso Mendoza,Marcos Alonso,Chelsea,3,Spain,English Premier League
358,Henrikh Mkhitaryan,H. Mkhitaryan,Arsenal,7,Armenia,English Premier League
359,Jesús Manuel Corona Ruíz,J. Corona,FC Porto,17,Mexico,Portuguese Liga ZON SAGRES
360,André Gomes Magalhães de Almeida,André Almeida,SL Benfica,34,Portugal,Portuguese Liga ZON SAGRES
361,Granit Xhaka,G. Xhaka,Arsenal,34,Switzerland,English Premier League
362,Jordi Masip López,Jordi Masip,Real Valladolid CF,1,Spain,Spain Primera Division
363,Timo Horn,T. Horn,1. FC Köln,1,Germany,German 1. Bundesliga
364,Rafael Alcântara do Nascimento,Rafinha,FC Barcelona,12,Brazil,Spain Primera Division
365,Geoffrey Edwin Kondogbia,G. Kondogbia,Valencia CF,6,Central African Republic,Spain Primera Division
366,Alessandro Florenzi,A. Florenzi,Roma,24,Italy,Italian Serie A
367,Tomáš Vaclík,T. Vaclík,Sevilla FC,1,Czech Republic,Spain Primera Division
368,Eran Zahavi,E. Zahavi,Guangzhou City,7,Israel,Chinese Super League
369,Vilmos Tamás Orban,W. Orban,RB Leipzig,4,Hungary,German 1. Bundesliga
370,Marcel Sabitzer,M. Sabitzer,RB Leipzig,7,Austria,German 1. Bundesliga
371,Alessio Cragno,A. Cragno,Cagliari,28,Italy,Italian Serie A
372,Luke Shaw,L. Shaw,Manchester United,23,England,English Premier League
373,Luka Milivojević,L. Milivojević,Crystal Palace,4,Serbia,English Premier League
374,Alassane Alexandre Pléa,A. Plea,Borussia Mönchengladbach,14,France,German 1. Bundesliga
375,Franco Damián Vázquez,F. Vázquez,Sevilla FC,22,Argentina,Spain Primera Division
376,Yussuf Yurary Poulsen,Y. Poulsen,RB Leipzig,9,Denmark,German 1. Bundesliga
377,Ryan Fraser,R. Fraser,AFC Bournemouth,24,Scotland,English Premier League
378,Matthias Ginter,M. Ginter,Borussia Mönchengladbach,28,Germany,German 1. Bundesliga
379,Josef Alexander Martínez Mencia,J. Martínez,Atlanta United,7,Venezuela,USA Major League Soccer
380,Gerard Moreno Balagueró,Gerard Moreno,Villarreal CF,7,Spain,Spain Primera Division
381,Abdoulaye Doucouré,A. Doucouré,Watford,16,France,English Premier League
382,Emre Can,E. Can,Juventus,23,Germany,Italian Serie A
383,Lucas Vázquez Iglesias,Lucas Vázquez,Real Madrid CF,17,Spain,Spain Primera Division
384,Raphaël Adelino José Guerreiro,R. Guerreiro,Borussia Dortmund,13,Portugal,German 1. Bundesliga
385,Piotr Sebastian Zieliński,P. Zieliński,Napoli,20,Poland,Italian Serie A
386,José Luís Gayà Peña,Gayà,Valencia CF,14,Spain,Spain Primera Division
387,João Mário Naval da Costa Eduardo,João Mário,Inter,15,Portugal,Italian Serie A
388,Thiago Henrique Mendes Ribeiro,Thiago Mendes,Olympique Lyonnais,12,Brazil,French Ligue 1
389,Gerónimo Rulli,G. Rulli,Montpellier Hérault SC,1,Argentina,French Ligue 1
390,Armando Izzo,A. Izzo,Torino F.C.,5,Italy,Italian Serie A
391,Daniel García Carrillo,Dani García,Athletic Club de Bilbao,14,Spain,Spain Primera Division
392,Marcelo Brozović,M. Brozović,Inter,77,Croatia,Italian Serie A
393,Donny van de Beek,D. van de Beek,Ajax,6,Netherlands,Holland Eredivisie
394,Victor Jörgen Nilsson Lindelöf,V. Lindelöf,Manchester United,2,Sweden,English Premier League
395,Daniel Ceballos Fernández,Dani Ceballos,Arsenal,8,Spain,English Premier League
396,Wout Weghorst,W. Weghorst,VfL Wolfsburg,9,Netherlands,German 1. Bundesliga
397,Marcos Javier Acuña,M. Acuña,Sporting CP,9,Argentina,Portuguese Liga ZON SAGRES
398,Pablo Fornals Malla,Pablo Fornals,West Ham United,18,Spain,English Premier League
399,Onyinye Wilfred Ndidi,W. Ndidi,Leicester City,25,Nigeria,English Premier League
400,Laureano Thomas Santeiro Marre,Laure Santeiro,Fluminense,10,Brazil,Campeonato Brasileiro Série A
401,Lautaro Javier Martínez,L. Martínez,Inter,10,Argentina,Italian Serie A
402,Houssem Aouar,H. Aouar,Olympique Lyonnais,8,France,French Ligue 1
403,Tanguy Ndombèlé Alvaro,T. Ndombele,Tottenham Hotspur,28,France,English Premier League
404,David Neres Campos,David Neres,Ajax,7,Brazil,Holland Eredivisie
405,Éder Gabriel Militão,Éder Militão,Real Madrid CF,3,Brazil,Spain Primera Division
406,Joaquín Sánchez Rodríguez,Joaquín,Real Betis Balompié,17,Spain,Spain Primera Division
407,Wayne Mark Rooney,W. Rooney,D.C. United,9,England,USA Major League Soccer
408,Miguel Ángel Moyá Rumbo,Moyá,Real Sociedad,13,Spain,Spain Primera Division
409,Luís Carlos Almeida da Cunha,Nani,Orlando City Soccer Club,17,Portugal,USA Major League Soccer
410,Javier Alejandro Mascherano,J. Mascherano,Hebei FC,14,Argentina,Chinese Super League
411,Diego López Rodríguez,Diego López,RCD Espanyol de Barcelona,13,Spain,Spain Primera Division
412,Igor Akinfeev,I. Akinfeev,PFC CSKA Moscow,35,Russia,Rest of World
413,André-Pierre Christian Gignac,A. Gignac,Tigres U.A.N.L.,10,France,Mexican Liga MX
414,Jorge Molina Vidal,Jorge Molina,Getafe CF,19,Spain,Spain Primera Division
415,Benoît Costil,B. Costil,FC Girondins de Bordeaux,1,France,French Ligue 1
416,Loïc Perrin,L. Perrin,AS Saint-Étienne,24,France,French Ligue 1
417,Ben Foster,B. Foster,Watford,26,England,English Premier League
418,Tom Heaton,T. Heaton,Aston Villa,1,England,English Premier League
419,Steve Mandanda,S. Mandanda,Olympique de Marseille,30,France,French Ligue 1
420,Charles Dias De Oliveira,Charles,SD Eibar,19,Brazil,Spain Primera Division
421,Ştefan Daniel Radu,Ş. Radu,Lazio,26,Romania,Italian Serie A
422,Danny Rose,D. Rose,Tottenham Hotspur,3,England,English Premier League
423,Erik Lamela,E. Lamela,Tottenham Hotspur,11,Argentina,English Premier League
424,Raúl García Escudero,Raúl García,Athletic Club de Bilbao,22,Spain,Spain Primera Division
425,Ronaldo Aparecido Rodrigues,Naldo,AS Monaco,27,Brazil,French Ligue 1
426,Daniel Wass,D. Wass,Valencia CF,18,Denmark,Spain Primera Division
427,Sergio Germán Romero,S. Romero,Manchester United,22,Argentina,English Premier League
428,Pedro León Sánchez Gil,Pedro León,SD Eibar,21,Spain,Spain Primera Division
429,Ignacio Piatti,I. Piatti,Club de Foot Montréal,10,Argentina,USA Major League Soccer
430,David Ospina Ramírez,D. Ospina,Napoli,25,Colombia,Italian Serie A
431,Marcelo Alfonso Díaz Rojas,M. Díaz,Racing Club,21,Chile,Argentina Primera División
432,Mathieu Valbuena,M. Valbuena,Olympiacos CFP,28,France,Rest of World
433,Lars Bender,L. Bender,Bayer 04 Leverkusen,8,Germany,German 1. Bundesliga
434,Sven Bender,S. Bender,Bayer 04 Leverkusen,5,Germany,German 1. Bundesliga
435,Etienne Capoue,E. Capoue,Watford,29,France,English Premier League
436,Vitorino Gabriel Pacheco Antunes,Antunes,Getafe CF,3,Portugal,Spain Primera Division
437,Ralf Sebastian Fährmann,R. Fährmann,Norwich City,21,Germany,English Premier League
438,Federico Julián Fazio,F. Fazio,Roma,20,Argentina,Italian Serie A
439,長谷 部誠,M. Hasebe,Eintracht Frankfurt,20,Japan,German 1. Bundesliga
440,Sidnei Rechel da Silva Júnior,Sidnei,Real Betis Balompié,12,Brazil,Spain Primera Division
441,Diego Perotti,D. Perotti,Roma,8,Argentina,Italian Serie A
442,Lucas David Pratto,L. Pratto,River Plate,27,Argentina,Argentina Primera División
443,Sofiane Feghouli,S. Feghouli,Galatasaray SK,89,Algeria,Turkish Süper Lig
444,Kieran Trippier,K. Trippier,Atlético de Madrid,23,England,Spain Primera Division
445,Mateo Pablo Musacchio,M. Musacchio,AC Milan,22,Argentina,Italian Serie A
446,Yann Gérard M'Vila,Y. M'Vila,AS Saint-Étienne,6,France,French Ligue 1
447,Lars Edi Stindl,L. Stindl,Borussia Mönchengladbach,13,Germany,German 1. Bundesliga
448,Fedor Smolov,F. Smolov,FC Lokomotiv Moscow,9,Russia,Rest of World
449,Steven N'Kemboanza Mike Christopher Nzonzi,S. Nzonzi,Galatasaray SK,4,France,Turkish Süper Lig
450,Manuel Lanzini,M. Lanzini,West Ham United,10,Argentina,English Premier League
451,Francis Coquelin,F. Coquelin,Valencia CF,17,France,Spain Primera Division
452,Givanildo Vieira de Souza,Hulk,Shanghai Port FC,10,Brazil,Chinese Super League
453,Kevin Strootman,K. Strootman,Olympique de Marseille,12,Netherlands,French Ligue 1
454,Chris Smalling,C. Smalling,Manchester United,12,England,English Premier League
455,Kamil Jacek Glik,K. Glik,AS Monaco,25,Poland,French Ligue 1
456,Jeroen Zoet,J. Zoet,PSV,1,Netherlands,Holland Eredivisie
457,Eduardo Antonio Salvio,E. Salvio,Boca Juniors,11,Argentina,Argentina Primera División
458,Danijel Subašić,D. Subašić,AS Monaco,1,Croatia,French Ligue 1
459,Kevin Vogt,K. Vogt,TSG Hoffenheim,22,Germany,German 1. Bundesliga
460,Roberto Maximiliano Pereyra,R. Pereyra,Watford,37,Argentina,English Premier League
461,Ricardo Iván Rodríguez Araya,R. Rodríguez,AC Milan,45,Switzerland,Italian Serie A
462,Younès Belhanda,Y. Belhanda,Galatasaray SK,10,Morocco,Turkish Süper Lig
463,Sergi Enrich Ametller,Sergi Enrich,SD Eibar,9,Spain,Spain Primera Division
464,Dejan Lovren,D. Lovren,Liverpool,6,Croatia,English Premier League
465,Simone Verdi,S. Verdi,Napoli,9,Italy,Italian Serie A
466,Callum Wilson,C. Wilson,AFC Bournemouth,13,England,English Premier League
467,Josuha Guilavogui,J. Guilavogui,VfL Wolfsburg,23,France,German 1. Bundesliga
468,Alex Oxlade-Chamberlain,A. Oxlade-Chamberlain,Liverpool,15,England,English Premier League
469,Mathew David Ryan,M. Ryan,Brighton & Hove Albion,1,Australia,English Premier League
470,Luis Fernando Muriel Fruto,L. Muriel,Atalanta,9,Colombia,Italian Serie A
471,Domagoj Vida,D. Vida,Beşiktaş JK,24,Croatia,Turkish Süper Lig
472,Ibai Gómez Pérez,Ibai Gómez,Athletic Club de Bilbao,19,Spain,Spain Primera Division
473,Sergi Gómez Solà,Sergi Gómez,Sevilla FC,3,Spain,Spain Primera Division
474,José Ángel Gómez Campaña,Campaña,Levante Unión Deportiva,24,Spain,Spain Primera Division
475,Hans Vanaken,H. Vanaken,Club Brugge KV,20,Belgium,Belgian Jupiler Pro League
476,Steven Berghuis,S. Berghuis,Feyenoord,10,Netherlands,Holland Eredivisie
477,Cristian Tello Herrera,Cristian Tello,Real Betis Balompié,11,Spain,Spain Primera Division
478,Ismaily Gonçalves dos Santos,Ismaily,Shakhtar Donetsk,31,Brazil,Rest of World
479,Aïssa Mandi,A. Mandi,Real Betis Balompié,23,Algeria,Spain Primera Division
480,Faouzi Ghoulam,F. Ghoulam,Napoli,31,Algeria,Italian Serie A
481,Martin Hinteregger,M. Hinteregger,Eintracht Frankfurt,13,Austria,German 1. Bundesliga
482,Salif Sané,S. Sané,FC Schalke 04,26,Senegal,German 1. Bundesliga
483,Gerard Deulofeu Lázaro,Deulofeu,Watford,7,Spain,English Premier League
484,Sergi Darder Moll,Sergi Darder,RCD Espanyol de Barcelona,10,Spain,Spain Primera Division
485,Simone Zaza,S. Zaza,Torino F.C.,11,Italy,Italian Serie A
486,Davy Klaassen,D. Klaassen,SV Werder Bremen,30,Netherlands,German 1. Bundesliga
487,Pavel Kadeřábek,P. Kadeřábek,TSG Hoffenheim,3,Czech Republic,German 1. Bundesliga
488,Héctor Bellerín Moruno,Héctor Bellerín,Arsenal,2,Spain,English Premier League
489,Šime Vrsaljko,Š. Vrsaljko,Atlético de Madrid,24,Croatia,Spain Primera Division
490,Alejandro Pozuelo Melero,Pozuelo,Toronto FC,10,Spain,USA Major League Soccer
491,Christoph Kramer,C. Kramer,Borussia Mönchengladbach,6,Germany,German 1. Bundesliga
492,Kurt Happy Zouma,K. Zouma,Chelsea,15,France,English Premier League
493,Íñigo Martínez Berridi,Iñigo Martínez,Athletic Club de Bilbao,4,Spain,Spain Primera Division
494,Raúl Alonso Jiménez Rodríguez,R. Jiménez,Wolverhampton Wanderers,9,Mexico,English Premier League
495,Benjamin Mendy,B. Mendy,Manchester City,22,France,English Premier League
496,Juan Bernat Velasco,Bernat,Paris Saint-Germain,14,Spain,French Ligue 1
497,Cristian Portugués Manzanera,Portu,Real Sociedad,7,Spain,Spain Primera Division
498,Matija Nastasić,M. Nastasić,FC Schalke 04,5,Serbia,German 1. Bundesliga
499,Bernard Anício Caldeira Duarte,Bernard,Everton,20,Brazil,English Premier League
500,Esteban Maximiliano Andrada,E. Andrada,Boca Juniors,1,Argentina,Argentina Primera División
501,Taras Stepanenko,T. Stepanenko,Shakhtar Donetsk,6,Ukraine,Rest of World
502,Manuel Trigueros Muñoz,Manu Trigueros,Villarreal CF,14,Spain,Spain Primera Division
503,Leandro Daniel Paredes,L. Paredes,Paris Saint-Germain,8,Argentina,French Ligue 1
504,Michael Keane,M. Keane,Everton,5,England,English Premier League
505,Hakan Çalhanoğlu,H. Çalhanoğlu,AC Milan,10,Turkey,Italian Serie A
506,Gabriel Appelt Pires,Gabriel,SL Benfica,8,Brazil,Portuguese Liga ZON SAGRES
507,Munas Dabbur,M. Dabbur,Sevilla FC,9,Israel,Spain Primera Division
508,Nathan Aké,N. Aké,AFC Bournemouth,5,Netherlands,English Premier League
509,Juan Fernando Quintero Paniagua,J. Quintero,River Plate,10,Colombia,Argentina Primera División
510,Samuel Castillejo Azuaga,Samu Castillejo,AC Milan,7,Spain,Italian Serie A
511,Marcel Halstenberg,M. Halstenberg,RB Leipzig,23,Germany,German 1. Bundesliga
512,Elseid Hysaj,E. Hysaj,Napoli,23,Albania,Italian Serie A
513,André Filipe Tavares Gomes,André Gomes,Everton,21,Portugal,English Premier League
514,Moussa Dembélé,M. Dembélé,Olympique Lyonnais,9,France,French Ligue 1
515,Odisseas Vlachodimos,O. Vlachodimos,SL Benfica,99,Greece,Portuguese Liga ZON SAGRES
516,Santiago Mina Lorenzo,Santi Mina,RC Celta de Vigo,22,Spain,Spain Primera Division
517,Marcos Paulo Mesquita Lopes,Rony Lopes,Sevilla FC,7,Portugal,Spain Primera Division
518,Andreas Bødtker Christensen,A. Christensen,Chelsea,4,Denmark,English Premier League
519,Franco Armani,F. Armani,River Plate,1,Argentina,Argentina Primera División
520,Iván José Marcone,I. Marcone,Boca Juniors,23,Argentina,Argentina Primera División
521,Walter Daniel Benítez,W. Benítez,OGC Nice,40,Argentina,French Ligue 1
522,Carlos Joaquín Correa,J. Correa,Lazio,11,Argentina,Italian Serie A
523,Mike Maignan,M. Maignan,LOSC Lille,16,France,French Ligue 1
524,Keita Baldé Diao,K. Baldé,AS Monaco,14,Senegal,French Ligue 1
525,Youri Tielemans,Y. Tielemans,Leicester City,8,Belgium,English Premier League
526,Tiémoué Bakayoko,T. Bakayoko,Chelsea,14,France,English Premier League
527,Matías Vecino Falero,M. Vecino,Inter,8,Uruguay,Italian Serie A
528,Ante Rebić,A. Rebić,Eintracht Frankfurt,4,Croatia,German 1. Bundesliga
529,Martin Dúbravka,M. Dúbravka,Newcastle United,12,Slovakia,English Premier League
530,Mattia Caldara,M. Caldara,AC Milan,31,Italy,Italian Serie A
531,Julian Weigl,J. Weigl,Borussia Dortmund,33,Germany,German 1. Bundesliga
532,Harry Winks,H. Winks,Tottenham Hotspur,8,England,English Premier League
533,Jonathan Rodríguez Menéndez,Jony,Lazio,22,Spain,Italian Serie A
534,Krzysztof Piątek,K. Piątek,AC Milan,9,Poland,Italian Serie A
535,Jaime Mata Arnaiz,Mata,Getafe CF,7,Spain,Spain Primera Division
536,Valentin Rongier,V. Rongier,FC Nantes,28,France,French Ligue 1
537,Nicolò Barella,N. Barella,Inter,81,Italy,Italian Serie A
538,Diogo José Teixeira da Silva,Diogo Jota,Wolverhampton Wanderers,18,Portugal,English Premier League
539,Joe Gomez,J. Gomez,Liverpool,12,England,English Premier League
540,Eric Bertrand Bailly,E. Bailly,Manchester United,3,Côte d'Ivoire,English Premier League
541,Marcos Llorente Moreno,Marcos Llorente,Atlético de Madrid,14,Spain,Spain Primera Division
542,Maximilian Eggestein,M. Eggestein,SV Werder Bremen,35,Germany,German 1. Bundesliga
543,Marko Dmitrović,M. Dmitrović,SD Eibar,1,Serbia,Spain Primera Division
544,Moussa Marega,M. Marega,FC Porto,11,Mali,Portuguese Liga ZON SAGRES
545,Yeray Álvarez López,Yeray,Athletic Club de Bilbao,5,Spain,Spain Primera Division
546,Ferland Mendy,F. Mendy,Real Madrid CF,23,France,Spain Primera Division
547,Mario Hermoso Canseco,Mario Hermoso,Atlético de Madrid,22,Spain,Spain Primera Division
548,Everton Jorge Andrade Zanon,Everton Andrão,Fluminense,6,Brazil,Campeonato Brasileiro Série A
549,Welington Kauê Dano Nascimento,Welington Dano,Cruzeiro,5,Brazil,Campeonato Brasileiro Série A
550,Miguel Ángel Almirón Rejala,M. Almirón,Newcastle United,24,Paraguay,English Premier League
551,Álvaro Odriozola Arzalluz,Odriozola,Real Madrid CF,19,Spain,Spain Primera Division
552,Carlos Soler Barragán,Carlos Soler,Valencia CF,8,Spain,Spain Primera Division
