,rag,common_entity,entity1,entity2,entity3,entity4,rag_text
2225,Florent Olivier Sylvain Hanin,F. Hanin,Vitória de Guimarães,29,France,Portuguese Liga ZON SAGRES,
2226,Bilal Abdul Hamid,B. Hamid,D.C. United,24,United States,USA Major League Soccer,
2227,Mathew Allan Leckie,M. Leckie,Hertha BSC,11,Australia,German 1. Bundesliga,
2228,Jeffrey Bruma,J. Bruma,VfL Wolfsburg,5,Netherlands,German 1. Bundesliga,
2229,Iñigo Pérez Soto,Iñigo Pérez,CA Osasuna,21,Spain,Spain Primera Division,
2230,Khouma El Hadji Babacar,K. Babacar,U.S. Sassuolo Calcio,30,Senegal,Italian Serie A,
2231,Anselmo de Moraes,Anselmo,Al Wehda,87,Brazil,Saudi Abdul L. Jameel League,
2232,Lorenzo Crisetig,L. Crisetig,Bologna,34,Italy,Italian Serie A,
2233,Jens Toornstra,J. Toornstra,Feyenoord,28,Netherlands,Holland Eredivisie,
2234,Jordi Amat Maas,Jordi Amat,KAS Eupen,5,Spain,Belgian Jupiler Pro League,
2235,Leandro Damião da Silva dos Santos,Leandro Damião,Kawasaki Frontale,9,Brazil,Japanese J. League Division 1,
2236,Stefan Bell,S. Bell,1. FSV Mainz 05,16,Germany,German 1. Bundesliga,
2237,Martin Linnes,M. Linnes,Galatasaray SK,14,Norway,Turkish Süper Lig,
2238,Romain Amalfitano,R. Amalfitano,Dijon FCO,20,France,French Ligue 1,
2239,Trent Lucas Sainsbury,T. Sainsbury,PSV,20,Australia,Holland Eredivisie,
2240,Georgios Tzavellas,G. Tzavellas,Aytemiz Alanyaspor,31,Greece,Turkish Süper Lig,
2241,Bryan Dabo,B. Dabo,Fiorentina,14,Burkina Faso,Italian Serie A,
2242,Ilija Nestorovski,I. Nestorovski,Udinese Calcio,9,North Macedonia,Italian Serie A,
2243,Timm Klose,T. Klose,Norwich City,15,Switzerland,English Premier League,
2244,Diego Mariño Villar,Diego Mariño,Real Sporting de Gijón,13,Spain,Spanish Segunda División,
2245,Ilie Sánchez Farrés,Ilie Sánchez,Sporting Kansas City,6,Spain,USA Major League Soccer,
2246,Connor Lambert Goldson,C. Goldson,Rangers FC,6,England,Scottish Premiership,
2247,Erik Sviatchenko,E. Sviatchenko,FC Midtjylland,28,Denmark,Danish Superliga,
2248,Anders Christiansen,A. Christiansen,Malmö FF,14,Denmark,Swedish Allsvenskan,
2249,Gernot Trauner,G. Trauner,LASK Linz,18,Austria,Austrian Football Bundesliga,
2250,Sonny Kittel,S. Kittel,Hamburger SV,10,Germany,German 2. Bundesliga,
2251,Alan Patrick Lourenço,Alan Patrick,Shakhtar Donetsk,21,Brazil,Rest of World,
2252,Graeme Shinnie,G. Shinnie,Derby County,4,Scotland,English League Championship,
2253,Ben Gibson,B. Gibson,Burnley,14,England,English Premier League,
2254,Lukas Hinterseer,L. Hinterseer,Hamburger SV,16,Austria,German 2. Bundesliga,
2255,Camilo da Silva Sanvezzo,Camilo,Club Tijuana,7,Brazil,Mexican Liga MX,
2256,홍정호 洪正好,Hong Jeong Ho,Jeonbuk Hyundai Motors,26,Korea Republic,Korean K League 1,
2257,Jeffrey Schlupp,J. Schlupp,Crystal Palace,15,Ghana,English Premier League,
2258,José Carlos Coentrão Marafona,Marafona,Aytemiz Alanyaspor,28,Portugal,Turkish Süper Lig,
2259,Nicolas De Préville,N. De Préville,FC Girondins de Bordeaux,12,France,French Ligue 1,
2260,Diego Rigonato Rodrigues,Diego,Deportivo Toluca,10,Brazil,Mexican Liga MX,
2261,Ladislav Krejčí,L. Krejčí,Bologna,11,Czech Republic,Italian Serie A,
2262,Frederik Riis Rønnow,F. Rønnow,Eintracht Frankfurt,32,Denmark,German 1. Bundesliga,
2263,Camillo Ciano,C. Ciano,Frosinone,28,Italy,Italian Serie B,
2264,Andreas Evald Cornelius,A. Cornelius,Parma,11,Denmark,Italian Serie A,
2265,Juan Manuel Sánchez Miño,J. Sánchez Miño,Club Atlético Independiente,6,Argentina,Argentina Primera División,
2266,Johannes Geis,J. Geis,1. FC Nürnberg,5,Germany,German 2. Bundesliga,
2267,Facundo Tomás Quignón,F. Quignon,Club Atlético Lanús,19,Argentina,Argentina Primera División,
2268,Leigh Griffiths,L. Griffiths,Celtic,9,Scotland,Scottish Premiership,
2269,Jack Stephens,J. Stephens,Southampton,5,England,English Premier League,
2270,Thulani Caleeb Serero,T. Serero,Vitesse,17,South Africa,Holland Eredivisie,
2271,Federico Viviani,F. Viviani,SPAL,92,Italy,Italian Serie A,
2272,Gianluca Caprari,G. Caprari,U.C. Sampdoria,17,Italy,Italian Serie A,
2273,Thievy Guivane Bifouma Koulossa,T. Bifouma,Yeni Malatyaspor,10,Congo,Turkish Süper Lig,
2274,Oscar Hiljemark,O. Hiljemark,Genoa,88,Sweden,Italian Serie A,
2275,Dimitri Foulquier,D. Foulquier,Watford,28,France,English Premier League,
2276,Florian Hübner,F. Hübner,1. FC Union Berlin,19,Germany,German 1. Bundesliga,
2277,Stéphane Bahoken,S. Bahoken,Angers SCO,19,Cameroon,French Ligue 1,
2278,Thomas Delaine,T. Delaine,FC Metz,17,France,French Ligue 1,
2279,Marvin Bakalorz,M. Bakalorz,Hannover 96,6,Germany,German 2. Bundesliga,
2280,Emir Dilaver,E. Dilaver,Dinamo Zagreb,66,Austria,Rest of World,
2281,Yassin Ayoub,Y. Ayoub,Feyenoord,18,Morocco,Holland Eredivisie,
2282,Charly Musonda Junior,C. Musonda,Vitesse,27,Belgium,Holland Eredivisie,
2283,Dino Arslanagić,D. Arslanagic,Royal Antwerp FC,15,Belgium,Belgian Jupiler Pro League,
2284,Juan Carlos Real Ruiz,Juan Carlos,SD Huesca,21,Spain,Spanish Segunda División,
2285,Joe Ralls,J. Ralls,Cardiff City,8,England,English League Championship,
2286,Rubén Pardo Gutiérrez,Rubén Pardo,Real Sociedad,14,Spain,Spain Primera Division,
2287,Luis Jan Piers Advíncula Castrillón,L. Advíncula,Rayo Vallecano,17,Peru,Spanish Segunda División,
2288,Víctor Yoshimar Yotún Flores,Y. Yotún,Cruz Azul,19,Peru,Mexican Liga MX,
2289,Lorenzo António Melgarejo Sanabria,L. Melgarejo,Spartak Moskva,25,Paraguay,Rest of World,
2290,Álvaro Vadillo Cifuentes,Vadillo,Granada CF,7,Spain,Spain Primera Division,
2291,Prince-Désir Gnahoré Gouano,P. Gouano,Amiens SC,2,France,French Ligue 1,
2292,John Egan,J. Egan,Sheffield United,12,Republic of Ireland,English Premier League,
2293,Diego Queiroz de Oliveira,Diego Oliveira,FC Tokyo,9,Brazil,Japanese J. League Division 1,
2294,Ewerton José Almeida Santos,Ewerton,Hamburger SV,3,Brazil,German 2. Bundesliga,
2295,Ryan Fredericks,R. Fredericks,West Ham United,24,England,English Premier League,
2296,Kemar Roofe,K. Roofe,RSC Anderlecht,11,England,Belgian Jupiler Pro League,
2297,Jan Kopic,J. Kopic,FC Viktoria Plzeň,10,Czech Republic,Czech Republic Gambrinus Liga,
2298,Valerio Verre,V. Verre,Hellas Verona,13,Italy,Italian Serie A,
2299,Christian Atsu Twasam,C. Atsu,Newcastle United,30,Ghana,English Premier League,
2300,Jairo Samperio Bustara,Jairo,Hamburger SV,23,Spain,German 2. Bundesliga,
2301,Héctor Miguel Canteros,H. Canteros,MKE Ankaragücü,10,Argentina,Turkish Süper Lig,
2302,Amato Ciciretti,A. Ciciretti,Napoli,37,Italy,Italian Serie A,
2303,Sanjin Prcić,S. Prcić,Levante Unión Deportiva,25,Bosnia and Herzegovina,Spain Primera Division,
2304,Jordan Ferri,J. Ferri,Montpellier Hérault SC,12,France,French Ligue 1,
2305,João Pedro da Silva Pereira,João Pereira,Trabzonspor,47,Portugal,Turkish Süper Lig,
2306,Mykola Morozyuk,M. Morozyuk,Çaykur Rizespor,55,Ukraine,Turkish Süper Lig,
2307,Bogdan Butko,B. Butko,Shakhtar Donetsk,2,Ukraine,Rest of World,
2308,Simon Augustin Falette,S. Falette,Eintracht Frankfurt,3,Guinea,German 1. Bundesliga,
2309,Luciano Darío Vietto,L. Vietto,Sporting CP,10,Argentina,Portuguese Liga ZON SAGRES,
2310,Jürgen Damm Rascón,J. Damm,Tigres U.A.N.L.,25,Mexico,Mexican Liga MX,
2311,Filip Viktor Helander,F. Helander,Rangers FC,5,Sweden,Scottish Premiership,
2312,Adam Webster,A. Webster,Brighton & Hove Albion,15,England,English Premier League,
2313,Emil Henry Kristoffer Krafth,E. Krafth,Newcastle United,17,Sweden,English Premier League,
2314,Sokratis Dioudis,S. Dioudis,Panathinaikos FC,1,Greece,Rest of World,
2315,Erik Durm,E. Durm,Eintracht Frankfurt,25,Germany,German 1. Bundesliga,
2316,Pedro Henrique Konzen Medina da Silva,Pedro Henrique,Yukatel Kayserispor,10,Brazil,Turkish Süper Lig,
2317,Lucas Torró Marset,Lucas Torró,Eintracht Frankfurt,16,Spain,German 1. Bundesliga,
2318,Dimitrios Kourmpelis,D. Kourmpelis,Panathinaikos FC,21,Greece,Rest of World,
2319,Harlem-Eddy Gnohéré,H. Gnohere,FCSB (Steaua),9,France,Romanian Liga I,
2320,Kévin Manuel Rodrigues,Kévin Rodrigues,Real Sociedad,20,Portugal,Spain Primera Division,
2321,Matheus Dória Macedo,Dória,Santos Laguna,21,Brazil,Mexican Liga MX,
2322,Abdul Rahman Baba,A. Baba,Chelsea,36,Ghana,English Premier League,
2323,Dorian Dessoleil,D. Dessoleil,Royal Charleroi S.C.,24,Belgium,Belgian Jupiler Pro League,
2324,Lucas Silva Borges,Lucas Silva,Real Madrid CF,29,Brazil,Spain Primera Division,
2325,Pierrick Capelle,P. Capelle,Angers SCO,15,France,French Ligue 1,
2326,Timo Letschert,T. Letschert,Hamburger SV,25,Netherlands,German 2. Bundesliga,
2327,Jean-Pierre Nsame,J. Nsame,BSC Young Boys,18,Cameroon,Swiss Super League,
2328,Mikel Ndubusi Agu,M. Agu,Vitória de Guimarães,24,Nigeria,Portuguese Liga ZON SAGRES,
2329,Joris van Overeem,J. van Overeem,FC Utrecht,8,Netherlands,Holland Eredivisie,
2330,Jozabed Sánchez Ruiz,Jozabed,RC Celta de Vigo,21,Spain,Spain Primera Division,
2331,Rachid Ghezzal,R. Ghezzal,Leicester City,31,Algeria,English Premier League,
2332,Ilya Kutepov,I. Kutepov,Spartak Moskva,29,Russia,Rest of World,
2333,João Felipe Schmidt Urbano,João Schmidt,Nagoya Grampus,8,Brazil,Japanese J. League Division 1,
2334,Birger Danny Verstraete,B. Verstraete,1. FC Köln,8,Belgium,German 1. Bundesliga,
2335,Pablo Ezequiel De Blasis,P. De Blasis,SD Eibar,16,Argentina,Spain Primera Division,
2336,Javier Manquillo Gaitán,Manquillo,Newcastle United,19,Spain,English Premier League,
2337,Rubén García Santos,Rubén García,CA Osasuna,14,Spain,Spain Primera Division,
2338,Bradley Dack,B. Dack,Blackburn Rovers,23,England,English League Championship,
2339,Alejandro Saúl Chumacero Bracamonte,A. Chumacero,Puebla FC,3,Bolivia,Mexican Liga MX,
2340,Riza Durmisi,R. Durmisi,Lazio,14,Denmark,Italian Serie A,
2341,Rafael Czichos,R. Czichos,1. FC Köln,5,Germany,German 1. Bundesliga,
2342,André Hahn,A. Hahn,FC Augsburg,28,Germany,German 1. Bundesliga,
2343,Florian Niederlechner,F. Niederlechner,FC Augsburg,7,Germany,German 1. Bundesliga,
2344,Darko Lazović,D. Lazović,Hellas Verona,56,Serbia,Italian Serie A,
2345,Daniel Heuer Fernandes,D. Heuer Fernandes,Hamburger SV,1,Portugal,German 2. Bundesliga,
2346,Iuri José Picanço Medeiros,Iuri Medeiros,1. FC Nürnberg,40,Portugal,German 2. Bundesliga,
2347,Jack O'Connell,J. O'Connell,Sheffield United,5,England,English Premier League,
2348,Loïs Diony,L. Diony,AS Saint-Étienne,9,France,French Ligue 1,
2349,Tyrone Mings,T. Mings,Aston Villa,40,England,English Premier League,
2350,조현우 崔永宇,Cho Hyun Woo,Daegu FC,21,Korea Republic,Korean K League 1,
2351,Mateo Pavlović,M. Pavlović,Angers SCO,4,Croatia,French Ligue 1,
2352,Sven van Beek,S. van Beek,Feyenoord,3,Netherlands,Holland Eredivisie,
2353,Roberto Suárez Pier,Róber,Deportivo de La Coruña,30,Spain,Spanish Segunda División,
2354,Lucas Daniel Cavallini,L. Cavallini,Puebla FC,9,Canada,Mexican Liga MX,
2355,Diego Alejandro Rolan Silva,D. Rolán,Deportivo de La Coruña,21,Uruguay,Spanish Segunda División,
2356,Fouad Bachirou,F. Bachirou,Malmö FF,7,Comoros,Swedish Allsvenskan,
2357,Felipe Andrés Mora Aliaga,F. Mora,Club Universidad Nacional,9,Chile,Mexican Liga MX,
2358,Adama Traoré Diarra,Adama Traoré,Wolverhampton Wanderers,37,Spain,English Premier League,
2359,Diego Martín Rodríguez Berrini,D. Rodríguez,Defensa y Justicia,15,Uruguay,Argentina Primera División,
2360,Nicolás Vikonis Moreau,N. Vikonis,Puebla FC,34,Uruguay,Mexican Liga MX,
2361,Rafael Pérez,R. Pérez,Junior FC,5,Colombia,Colombian Liga Postobón,
2362,Daniel Eduardo Bocanegra Ortíz,D. Bocanegra,Atlético Nacional,2,Colombia,Colombian Liga Postobón,
2363,Édgar Felipe Pardo Castro,F. Pardo,Deportivo Toluca,17,Colombia,Mexican Liga MX,
2364,Igor Lichnovsky Osorio,I. Lichnovsky,Cruz Azul,5,Chile,Mexican Liga MX,
2365,Wilson David Morelo López,W. Morelo,Club Atlético Colón,19,Colombia,Argentina Primera División,
2366,Andrés Ricaurte Vélez,A. Ricaurte,Independiente Medellín,10,Colombia,Colombian Liga Postobón,
2367,Juan Edgardo Ramírez,J. Ramírez,San Lorenzo de Almagro,20,Argentina,Argentina Primera División,
2368,Paolo Duval Goltz,P. Goltz,Boca Juniors,2,Argentina,Argentina Primera División,
2369,Diego Hernán González,D. González,Racing Club,8,Argentina,Argentina Primera División,
2370,Silvio Ezequiel Romero,S. Romero,Club Atlético Independiente,18,Argentina,Argentina Primera División,
2371,Óscar Mauricio Opazo Lara,Ó. Opazo,Colo-Colo,16,Chile,Chilian Campeonato Nacional,
2372,Lucas Martín Villafáñez,L. Villafañez,Monarcas Morelia,19,Argentina,Mexican Liga MX,
2373,Brahian Milton Alemán Athaydes,B. Alemán,Gimnasia y Esgrima La Plata,19,Uruguay,Argentina Primera División,
2374,Diego Luis Braghieri,D. Braghieri,Club Tijuana,6,Argentina,Mexican Liga MX,
2375,Rodrigo Francisco Jesús Rey,R. Rey,Pachuca,22,Argentina,Mexican Liga MX,
2376,Enzo Maximiliano Kalinski,E. Kalinski,Estudiantes de La Plata,23,Argentina,Argentina Primera División,
2377,Edson Raúl Puch Cortés,É. Puch,Universidad Católica,10,Chile,Chilian Campeonato Nacional,
2378,Lucas Daniel Romero,L. Romero,Club Atlético Independiente,17,Argentina,Argentina Primera División,
2379,Lautaro Daniel Gianetti,L. Giannetti,Vélez Sarsfield,17,Argentina,Argentina Primera División,
2380,Fernando Zuqui,F. Zuqui,Club Atlético Colón,8,Argentina,Argentina Primera División,
2381,Ciro Pablo Rius Aragallo,C. Rius,Rosario Central,12,Argentina,Argentina Primera División,
2382,Rubén Alejandro Botta Montero,R. Botta,San Lorenzo de Almagro,19,Argentina,Argentina Primera División,
2383,Cristian Franco Lema,C. Lema,Newell's Old Boys,2,Argentina,Argentina Primera División,
2384,Lucas Manuel Zelarayán,L. Zelarayán,Tigres U.A.N.L.,8,Argentina,Mexican Liga MX,
2385,Jonathan Cristian Silva,J. Silva,CD Leganés,5,Argentina,Spain Primera Division,
2386,Bruno Petković,B. Petković,Dinamo Zagreb,21,Croatia,Rest of World,
2387,Jorge Franco Alviz,Burgui,Deportivo Alavés,14,Spain,Spain Primera Division,
2388,Marlon Santos da Silva Barbosa,Marlon,U.S. Sassuolo Calcio,2,Brazil,Italian Serie A,
2389,Damir Kreilach,D. Kreilach,Real Salt Lake,8,Croatia,USA Major League Soccer,
2390,Idrissa Mandiang,Idris,Boavista FC,42,Senegal,Portuguese Liga ZON SAGRES,
2391,Cican Stanković,C. Stanković,FC Red Bull Salzburg,1,Austria,Austrian Football Bundesliga,
2392,Marcel Tisserand,M. Tisserand,VfL Wolfsburg,32,Congo DR,German 1. Bundesliga,
2393,Anwar El Ghazi,A. El Ghazi,Aston Villa,21,Netherlands,English Premier League,
2394,Álvaro García Rivera,Álvaro García,Rayo Vallecano,18,Spain,Spanish Segunda División,
2395,Alan James Browne,A. Browne,Preston North End,8,Republic of Ireland,English League Championship,
2396,Carlos Manuel Cardoso Mané,Carlos Mané,Rio Ave FC,21,Portugal,Portuguese Liga ZON SAGRES,
2397,Islam Slimani,I. Slimani,Leicester City,13,Algeria,English Premier League,
2398,Sargis Adamyan,S. Adamyan,TSG Hoffenheim,23,Armenia,German 1. Bundesliga,
2399,Ambroise Oyongo Bitolo,A. Oyongo,Montpellier Hérault SC,8,Cameroon,French Ligue 1,
2400,José Ángel Pozo la Rosa,Pozo,Rayo Vallecano,22,Spain,Spanish Segunda División,
2401,Víctor Danilo Cantillo Jiménez,V. Cantillo,Junior FC,24,Colombia,Colombian Liga Postobón,
2402,Jordan Kévin Amavi,J. Amavi,Olympique de Marseille,18,France,French Ligue 1,
2403,Edgar Antonio Méndez Ortega,Edgar Méndez,Cruz Azul,17,Spain,Mexican Liga MX,
2404,Georges-Kévin Nkoudou Mbida,G. Nkoudou,Tottenham Hotspur,14,France,English Premier League,
2405,Mahmoud Abdul Monem Abdelhamid Soliman,Kahraba,Desportivo das Aves,11,Egypt,Portuguese Liga ZON SAGRES,
2406,Bruno Miguel Semedo Varela,Bruno Varela,Ajax,1,Portugal,Holland Eredivisie,
2407,José Manuel Rodríguez Benito,Chema Rodríguez,Nottingham Forest,36,Spain,English League Championship,
2408,Roger Beyker Martínez Tobinson,R. Martínez,Club América,9,Colombia,Mexican Liga MX,
2409,Oliver McBurnie,O. McBurnie,Sheffield United,9,Scotland,English Premier League,
2410,Kemar Michael Lawrence,K. Lawrence,New York Red Bulls,92,Jamaica,USA Major League Soccer,
2411,Bongani Zungu,B. Zungu,Amiens SC,8,South Africa,French Ligue 1,
2412,Ángel Rodrigo Romero Villamayor,A. Romero,San Lorenzo de Almagro,92,Paraguay,Argentina Primera División,
2413,Júnior Osmar Ignacio Alonso Mujica,J. Alonso,Boca Juniors,6,Paraguay,Argentina Primera División,
2414,Diego Rico Salguero,Diego Rico,AFC Bournemouth,21,Spain,English Premier League,
2415,Antonio Barreca,A. Barreca,Genoa,3,Italy,Italian Serie A,
2416,Valentín Vada,V. Vada,FC Girondins de Bordeaux,45,Argentina,French Ligue 1,
2417,Florent Hadërgjonaj,F. Hadergjonaj,Huddersfield Town,33,Kosovo,English League Championship,
2418,Mohamed Saïd Benrahma,S. Benrahma,Brentford,21,Algeria,English League Championship,
2419,Renato Fabrizio Tapia Cortijo,R. Tapia,Feyenoord,20,Peru,Holland Eredivisie,
2420,Philip Billing,P. Billing,AFC Bournemouth,29,Denmark,English Premier League,
2421,Ryan Jared Thomas,R. Thomas,PSV,30,New Zealand,Holland Eredivisie,
2422,Jean-Eudès Aholou,J. Aholou,AS Saint-Étienne,17,Côte d'Ivoire,French Ligue 1,
2423,Pablo Carmine Maffeo Becerra,Pablo Maffeo,Girona FC,20,Spain,Spanish Segunda División,
2424,Ollie Watkins,O. Watkins,Brentford,11,England,English League Championship,
2425,Hélder Wander Sousa Azevedo Costa,Hélder Costa,Leeds United,17,Portugal,English League Championship,
2426,Patrick Roberts,P. Roberts,Norwich City,7,England,English Premier League,
2427,Albian Afrim Ajeti,A. Ajeti,West Ham United,27,Switzerland,English Premier League,
2428,Unai López Cabrera,Unai López,Athletic Club de Bilbao,8,Spain,Spain Primera Division,
2429,Adrián Andrés Cubas,A. Cubas,Club Atlético Talleres,8,Argentina,Argentina Primera División,
2430,Iván López Álvarez,Ivi,SD Huesca,24,Spain,Spanish Segunda División,
2431,Zinedine Ferhat,Z. Ferhat,Nîmes Olympique,10,Algeria,French Ligue 1,
2432,Walace Souza Silva,Walace,Udinese Calcio,77,Brazil,Italian Serie A,
2433,Andrés Eliseo Chávez,A. Chávez,Club Atlético Huracán,9,Argentina,Argentina Primera División,
2434,Şener Özbayraklı,Ş. Özbayraklı,Galatasaray SK,2,Turkey,Turkish Süper Lig,
2435,Pablo Martinez,P. Martinez,Nîmes Olympique,4,France,French Ligue 1,
2436,Rodrigo Emanuel Cecchini,E. Cecchini,Seattle Sounders FC,22,Argentina,USA Major League Soccer,
2437,Munir Mohand Mohamedi,Munir,Málaga CF,1,Morocco,Spanish Segunda División,
2438,Javier Eraso Goñi,Eraso,CD Leganés,17,Spain,Spain Primera Division,
2439,Henry Josué Martín Mex,H. Martín,Club América,21,Mexico,Mexican Liga MX,
2440,Kristoffer Vassbakk Ajer,K. Ajer,Celtic,35,Norway,Scottish Premiership,
2441,Thomas Goiginger,T. Goiginger,LASK Linz,27,Austria,Austrian Football Bundesliga,
2442,Fábio Santos Martins,Fábio Martins,Futebol Clube de Famalicão,11,Portugal,Portuguese Liga ZON SAGRES,
2443,Pedro Nuno Fernandes Ferreira,Pedro Nuno,Moreirense FC,27,Portugal,Portuguese Liga ZON SAGRES,
2444,Orbelín Pineda Alvarado,O. Pineda,Cruz Azul,31,Mexico,Mexican Liga MX,
2445,Gian Marco Ferrari,G. Ferrari,U.S. Sassuolo Calcio,31,Italy,Italian Serie A,
2446,Keagan Dolly,K. Dolly,Montpellier Hérault SC,20,South Africa,French Ligue 1,
2447,Jarlan Junior Barrera Escalona,J. Barrera,Atlético Nacional,7,Colombia,Colombian Liga Postobón,
2448,Habibou Mouhamadou Diallo,H. Diallo,FC Metz,20,Senegal,French Ligue 1,
2449,Adam Masina,A. Masina,Watford,11,Italy,English Premier League,
2450,Wanderson de Jesus Martins,Caju,SC Braga,95,Brazil,Portuguese Liga ZON SAGRES,
2451,Camilo Sebastián Mayada Mesa,C. Mayada,Club Atlético de San Luis,18,Uruguay,Mexican Liga MX,
2452,Kasim Adams Nuhu,K. Adams Nuhu,Fortuna Düsseldorf,4,Ghana,German 1. Bundesliga,
2453,Miguel Ángel Trauco Saavedra,M. Trauco,AS Saint-Étienne,13,Peru,French Ligue 1,
2454,Jesús Daniel Gallardo Vasconcelos,J. Gallardo,CF Monterrey,17,Mexico,Mexican Liga MX,
2455,Ángel Emanuel Gonzalez,Á. González,Estudiantes de La Plata,8,Argentina,Argentina Primera División,
2456,Che Adams,C. Adams,Southampton,10,England,English Premier League,
2457,Emiliano Buendía,E. Buendía,Norwich City,17,Argentina,English Premier League,
2458,Sabin Merino Zuloaga,Sabin Merino,CD Leganés,9,Spain,Spain Primera Division,
2459,Ianis Hagi,I. Hagi,KRC Genk,23,Romania,Belgian Jupiler Pro League,
2460,Harold Fabián Preciado Villarreal,H. Preciado,Shenzhen FC,9,Colombia,Chinese Super League,
2461,Ismaël Bennacer,I. Bennacer,AC Milan,4,Algeria,Italian Serie A,
2462,Lucas Emanuel Gamba,L. Gamba,Rosario Central,28,Argentina,Argentina Primera División,
2463,Pape Cheikh Diop Gueye,P. Diop,RC Celta de Vigo,24,Spain,Spain Primera Division,
2464,Jeremiah St. Juste,J. St. Juste,1. FSV Mainz 05,4,Netherlands,German 1. Bundesliga,
