,common_entity,entity1,entity2
61237,Celtic Fairy Tales,"Jacobs, Joseph","April, 1994"
25650,Bankrupt: The Intellectual and Moral Bankruptcy of Today's Democratic Party,"Limbaugh, David","September, 2006"
21333,Doctor's Book of Food Remedies,"Yeager, Selene","May, 2000"
85103,Book of Oriental Carpets and Rugs,"Bennett, Ian","January, 1972"
68248,The Debutante,"Bevarly, Elizabeth","November, 2005"
46675,The Strange Story of the Frog Who Became a Prince,"Horwitz, Elinor Lander","January, 1976"
100710,1001 Things Everyone Should Know About the Universe,"Gutsch, William A., Jr.","May, 1999"
3675,Once Upon a Marigold,"Ferris, Jean","June, 2004"
57177,Bookends,"Green, Jane","July, 2010"
65680,Super Sandwiches,.,"January, 2006"
36045,Recipe for Life: Feasting on God's Grace,Tim Wesemann,"January, 2006"
76727,All Dolls Are Collectible,"Angione, Genevieve","December, 1988"
85935,The Story of the Erie Canal,R. Conrad Stein,"January, 1985"
90532,The Unofficial Guide to Life After High School,"Woods, Len","May, 1998"
47577,Moon Handbooks Montana,"Jewell, Judy and McRae, W. C.","April, 2005"
97356,Recipes for Fat Free Living Cookbook: Fat Free Desserts : Every Recipe Under 1 Gram of Fat Per Serving,"Steinback, Jyl","January, 1996"
31090,Chocolate: Cooking with the World's Best Ingredient,"Christine McFadden, Christine France","January, 2000"
46917,Local Girls,"Hoffman, Alice","May, 2000"
73925,Kitchen Comforts,"Boassy, Gay T.","January, 2005"
60603,The Passion Of Christ,Erika Swanson Geiss,"January, 2004"
86449,Celebutantes,"Goldberg, Amanda and Hopper, Ruthanna Khalighi","February, 2009"
6062,Mugged on Wall Street: An Insider Shows You How to Protect Yourself and Your Money from the Financial Pros,"Chase, C. David","July, 1987"
97011,NIV Compact Nave's Topical Bible,"Kohlenberger, John R., III","January, 1999"
99041,Innocent Spouse: A Memoir,"Joynt, Carol Ross","May, 2011"
59832,The Oxford book of military anecdotes,,"January, 1985"
47958,Honorable Enemies,"Weber, Joe","December, 1994"
16004,Innovation: The Attacker's Advantage,"Foster, Richard N.","April, 1986"
20319,Photographing Your Baby: Tips for Taking Great Pictures,Eastman Kodak Company,"October, 1984"
30727,The Christmas Cross,"Lucado, Max","October, 1998"
45265,The Right Data: The Conservative Guidebook to Busting Liberal Economic Myths,"Rubenstein, Edwin S.","January, 1994"
87322,Between a rock and a hard place,"Hatfield, Mark O.","January, 1976"
48196,Resurrection,"Malarkey, Tucker","July, 2006"
88437,The Ultimate Round: 18 Life Lessons from the World's Greatest Golfers,"Glaspey, Terry, Dyke, Larry (ILT), and Dyke, Larry","January, 2004"
75708,Enhancing Professional Practice: A Framework for Teaching,"Danielson, Charlotte","November, 1996"
44559,Julie And Romeo,"Ray, Jeanne","June, 2001"
45843,The Brief History of the Dead,"Brockmeier, Kevin","January, 2007"
79377,Teddy Bear's Scrapbook,,"January, 1990"
102323,We Are the Children: A Celebration of Unicef's First Forty Years,"Spiegelman, Judith M. and UNICEF","November, 1986"
78011,Where Is the Afikomen?,"Groner, J.","February, 1989"
3657,Madame Hillary: The Dark Road to the White House,"Tyrrell, R. Emmett, Jr. and Davis, Mark W.","January, 2004"
74799,One of the Family,"Sanderson, Ruth (ILT) and Archer, Peggy","October, 1983"
8066,The Brain Game,"Aero, Rita and Weiner, Elliot","August, 1983"
48713,Fortress of Owls,"Cherryh, C. J.","December, 1998"
77370,Sacajawea,"Howard, Harold P.","October, 1979"
7755,A Good Fight,"Brady, Sarah and McLoughlin, Merrill","March, 2002"
54052,Reader's Digest Pathfinders Sharks and Other Sea Creatures,Leighton Taylor,"January, 2000"
48192,What Management Is: How It Works and Why It's Everyone's Business,"Magretta, Joan and Stone, Nan Dundes","May, 2002"
49656,Survival Tactics in the Parish,"Schaller, Lyle E.","May, 1977"
26313,A Danger of Democracy: The Presidential Nominating Process,"Sanford, Terry.","May, 1981"
20377,Fitting the Pieces Together: A Collection of Poems,"Souders, Bruce","January, 1995"
21936,The Bowl Is Already Broken,"Zuravleff, Mary Kay","March, 2006"
24225,Extremely Loud and Incredibly Close,"Foer, Jonathan Safran","April, 2006"
81378,Knowledge Network,"Smart, Brian Hunter (EDT) and Whittaker, Bibby (EDT)","September, 1998"
8136,The Contemporary Atlas of China,Nathan Sivin,"January, 1988"
84769,Terrorism and International Justice,"Sterba, James P. (EDT)","April, 2003"
19224,Menopause,"Stoppard, Miriam","September, 1994"
9233,The Ballad of John and Yoko,Jonathan Cott~Christine Doudna,"January, 1982"
101911,Earth Magic,Francis Hitching,"March, 1978"
14117,Nothing Lasts Forever,"Sheldon, Sidney","September, 1994"
94492,Instant Architecture,"Nesmith, Eleanor Lynn","July, 1995"
8487,Good Health For African Americans,"Wilson, Josleen and Dixon, Barbara M.","December, 1993"
100486,The Unforgiving Minute: A Soldier's Education,"Mullaney, Craig M.","February, 2009"
19966,The Chesapeake Bay in Maryland: An Atlas of Natural Resources,"Lippson, Alice Jane","October, 1973"
16959,Behold: Spot the Difference Bible Stories,"Madgwick, Wendy and Alles, Hemesh (ILT)","December, 1993"
12523,Mortal Grace,"Stewart, Edward","June, 1994"
83832,Healing the Wounded Heart: Removing Obstacles to Intimacy with God,"Gardner, Thom","November, 2005"
8709,The Sixth Lamentation,"Brodrick, William","July, 2004"
28187,Pieces of My Mind,"Rooney, Andrew A.","October, 1984"
93909,Speak to My Heart: A Novel,"Adams, Stacy Hawkins","October, 2004"
7102,Great Food: Over 175 Recipes from Six of the World's Greatest Chef's,n/a,"March, 1998"
1005,Food and Wine's Holiday Favorites,Food Wine Staff,"August, 1996"
93904,The Riddle of the Rhine: Chemical Strategy in Peace and War,Victor Lefebure,"January, 1923"
36325,The Christmas Thief: A Novel,"Clark, Mary Higgins and Clark, Carol Higgins","November, 2004"
44341,Protector,Larry Niven,"January, 1973"
100096,Hello,"Padilla, Michael J., Miaoulis, Ioannis, Cyr, Martha, and Cronkite, Donald, Ph.D.","January, 1996"
54984,Get Anyone to Do Anything And Never Feel Powerless Again,David J. Lieberman,"May, 2000"
92939,The Stone Flower Garden,"Smith, Deborah","January, 2003"
60599,101 Questions Your Cat Would Ask Its Vet If Your Cat Could Talk,"Fogle, Bruce and Ward, Lalla (ILT)","April, 1995"
27280,Legal guide for the visual artist,"Crawford, Tad","January, 1990"
47173,Time and Again: An Anthology,"Roberts, Nora","March, 2006"
62571,Images of the Wild: Photography and Stories,"Sams, Carl R., Stoick, Jean, Sams, Carl R. (PHT), Stoick, Jean (PHT), Monroe, Michael Glenn (ILT), Monroe, Colleen, and Monroe, Colleen (EDT)","September, 1997"
51898,The Maintenance Man,Michael Baisden,"January, 1997"
88461,How to Get the Most Out of Trade Shows,"Miller, Steve","July, 2000"
10377,Jane Fonda's New Workout and Weight Loss Program,"Fonda, Jane","June, 1986"
19577,Trace: A Scarpetta Novel,"Cornwell, Patricia Daniels","September, 2004"
14453,Publish and Perish: Three Tales of Tenure and Terror,"Hynes, James","April, 1998"
1644,Three Tall Women,"Albee, Edward","September, 1995"
25001,In the Year of the Boar and Jackie Robinson,"Simont, Marc (ILT) and Lord, Bette","April, 2019"
80831,Dismantling the Universe: The Nature of Scientific Discovery,"Morris, Richard","October, 1983"
500,The Heritage of British Literature,"Bowen, Elizabeth","August, 1986"
7288,The Weekender's Gardening Manual,"Taylor, Patricia A.","March, 1986"
41030,Clues to American architecture,"Klein, Marilyn W","January, 1985"
27410,Clinton: Young Man in a Hurry,"Moore, Jim","January, 1997"
100182,The One Month Marriage,"Stacy, Judith","September, 2004"
11649,In the Spirit: The Inspirational Writings,"Taylor, Susan L.","October, 1994"
7986,Let History Judge: The Origins and Consequences of Stalinism,Roy A. Medvedev,"January, 1972"
47398,Brazil,"Updike, John","January, 1994"
9848,Builders of the Bay Colony,"Morison, Samuel Eliot","June, 1964"
83255,Geometry: Practice Workbook With Examples,"Holt Mcdougal (COR), Boswell, Laurie, and Stiff, Lee","May, 2000"
56669,Diane Seed's Mediterranean Dishes,"Seed, Diane and Hocombe, Sarah (ILT)","November, 1993"
23217,The Last Life: A Novel,"Messud, Claire","September, 2000"
2769,Caleb Williams,"Godwin, William and Hindle, Maurice","August, 1988"
89462,All For Jesus: A Devotional,"Graham, Franklin and Rhoads, Ross","May, 2005"
37698,Redneck Heaven: Portrait of a Vanishing Culture,"Bultman, Bethany","November, 1996"
25804,In Search Of History: A Personal Adventure,Theodore H. White,"January, 1979"
38497,A Child's Good Morning Book,"Brown, Margaret Wise and Charlot, Jean (ILT)","April, 1996"
21947,Women and the American Experience,"Woloch, Nancy","January, 1984"
9286,Apocalypse Wow,"Garner, James Finn","April, 1997"
92903,Hugs for Girlfriends,"Boultinghouse, Philis","January, 2002"
12437,Aerobic Walking : The Best and Safest Weight Loss and Cardiovascular Exercise for Everyone Overweight or Out of Shape,"Meyers, Casey","September, 1987"
78478,Peer Gynt : A Dramatic Poem,"Ibsen, Henrik and Watts, Peter (TRN)","April, 1966"
63900,Amish Society,"Hostetler, John Andrew","April, 1993"
42014,The Fall of Rome: A Novel,"Southgate, Martha","January, 2003"
89305,War in the Pacific: From the Fall of Singapore to Japanese Surrender,"Scutts, Jerry","October, 2000"
77808,Old Twentieth,"Haldeman, Joe","July, 2006"
88243,Safari Fun Pop Up Book,Landoll,"January, 1997"
23463,Paula,"Allende, Isabel and Peden, Margaret Sayers (TRN)","May, 1995"
40794,Who's Hiding Under the Sea?,Nancy Parent,"January, 2000"
68377,365 Fascinating Facts about Jesus,"Strand, Robert","March, 2000"
